,playlist_title,url,count,video_title,views,publish_date,video_length,author,keywords,video_id,video_captions
20,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Dangling Pointer in C with Example in Hindi | Types of Pointers | C Programming,21230,06-07-2019 00:00,548,Gate Smashers,"['dangling pointer and null pointer', 'dangling pointer and wild pointer', 'dangling pointer in compiler', 'dangling pointer in ppl', 'dangling pointer problem', 'dangling pointer and null pointer in c', 'dangling pointer in c in hindi', 'dangling pointer c++', 'dangling pointer example', 'dangling pointer in java', 'dangling pointer', 'what is dangling pointer', 'problem due to dangling pointer', 'dangling pointer in c', 'example of dangling pointer', 'dangling pointer meaning', 'dangling pointer definition']",A2DSzujPz5k,{}
21,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Generic Pointer in C | Type Casting ( Implicit vs Explicit )| Little Endian and Big Endian,13215,07-07-2019 00:00,1217,Gate Smashers,"['generic pointer in c in hindi', 'generic pointer in c', 'type casting in c', 'type casting and type conversion', 'type casting a char to an int in c', 'implicit vs explicit', 'what type casting in c', 'type casting in c++ in hindi', 'little endian and big endian in c', 'IT', 'Embedded System', 'GPOS', 'ERTOS', 'Integrated', 'Single Functioned', 'Multipurpose', 'High Cost', 'Low Cost', 'hardware', 'C++', 'Programming', 'Software', 'Real-time', 'Computer', 'hardware programming', 'Assembler', 'Compiler', 'Learning Tutorial', 'Learning Tutorials']",YbhA0Rox7BE,{}
22,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Example of Generic Pointer and Little Endian in C Programming,7106,08-07-2019 00:00,937,Gate Smashers,"['C Language', 'Pointers in C', 'Srinivas', 'C Language Tutorial Videos', 'pointers in c language', 'c pointers', 'c pointers programs', 'C Srinivas', 'learn c language', 'c tutorial', 'c programming', 'pointers in c programming', 'Pointer to Function', 'pointer to function in c', 'pointer to function program', 'Embedded System', 'Embedded System Course', 'Endianness in C', 'Big Endian vs Little Endian', 'what is Endianness', 'Embedded System Complete tutorial', 'Embedded Software', 'Embedded Software Developer']",oathlDsdTMM,{}
23,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,What is Wild Pointer and Null Pointer with Examples | Types of Pointers | C programming,22750,05-07-2019 00:00,520,Gate Smashers,"['types of pointers in cpp', 'types of pointers in c in hindi', 'types of pointers in c', 'types of pointers and its use', 'wild pointers', 'null pointers', 'dangling pointer and null pointer', 'wild pointer', 'wld pointer', 'wild pointer in c', 'c programming wild pointer', 'wild pointer c program', 'wild pointer program', 'avoiding wild pointer', 'how to avoid wild pointer', 'null pointer', 'null pointer lecture', 'null pointer uses', 'use of null pointer', 'null pointer in c', 'c null pointer']",6CMOudUdVqU,{}
24,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Function Pointer in C Programming,12860,06-01-2022 00:00,433,Gate Smashers,"['function pointer', 'function pointer in c', 'function polytechnic 1st semester', 'function pointers', 'pointer function in c', 'pointers in c', 'c programming', 'C Language', 'Pointers in C', 'pointers in c language', 'c pointers', 'c pointers programs', 'learn c language', 'Pointer to Function', 'pointer to function program', 'use of function pointer', 'function pointers in c', 'function pointer definition', 'c function pointers', 'function pointer in c programming', 'c programming for gate', 'gate c programming']",LI540DjxLQc,{}
25,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Array & Pointers in C Programming with examples,11637,11-01-2022 00:00,705,Gate Smashers,"['Coding Interview', 'Pointer', 'Array Data Structure', 'Students', 'pointers', 'array', 'javascript array', 'pointers in c', 'array in c', 'string array', 'what is an array', 'pointer pointer', 'array meaning', 'structure', 'array definition', 'what is pointer', 'pointer in c example', 'gate', 'ds notes', 'cse', 'it', 'CS/IT', 'pointers and array', 'data structure', 'algorithms', 'program on pointers', 'program on pointers in c', 'pointer program in c', 'logical programming in c', 'Array of Pointers', 'GATE computer science preparation']",N9-FbTtFwH4,{}
26,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,"Array of Pointers, Character Array in C Programming with examples | C language in Hindi",10975,26-01-2022 00:00,593,Gate Smashers,"['C Programming', 'C Programming in hindi', 'array of pointers', 'Character array', 'Best c tutorial', 'coding', 'interview', 'Pointer', 'Software', 'Computer', 'training', 'companies', 'lesson', 'Lessons', 'array in c pointer', 'c pointer with array', 'array of pointers in c tutorial', 'c array of pointers', 'learn programming online for free', 'pointer in c hindi', 'pointer hindi video tutorial', 'lecture on c pointers hindi', 'what is pointers hindi', 'what is c pointers in hindi', 'pointers tutorial in hindi', 'pointers in urdu']",cqX54iGlqBY,{}
27,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Introduction to Structure in C Programming in Hindi with best examples,7620,27-01-2022 00:00,567,Gate Smashers,"['free programming video tutorials', 'c structure video tutorial', 'defining a structer in c', 'define a structure in c tutorial', 'c structure video lecture', 'structure in c detailed tutorial', 'Structures in C', 'Hands on C Language Training', 'C Language Demo', 'Online C Language Training', 'C Language Tutorial Videos', 'C Language Overview', 'c language training', 'c Tutorials', 'Computer', 'Diploma in Computer', 'academy', 'O level', 'A level', 'Computer Network', 'Data Structure', 'OS', 'HTML', 'java', 'C forbeginners']",vqtyDXFlS98,{}
28,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Structure & Pointer in C Programming with example,5569,29-01-2022 00:00,544,Gate Smashers,"['pointer to structure', 'pointer to structure in c', 'pointer to structure variable', 'pointer to struct', 'structure', 'structures', 'structures in c', 'structures in c programming', 'c programming', 'c programming lectures', 'c programming for gate', 'structures and unions', 'Structures in C', 'Hands on C Language Training', 'C Language Demo', 'Online C Language Training', 'C Language Tutorial Videos', 'C Language Overview', 'c language training', 'c Tutorials', 'C Training Videos', 'program', 'language', 'code', 'basics']",HnnvR-a1sqw,{}
29,C Programming,https://www.youtube.com/playlist?list=PLxCzCOWd7aiGmiGl_DOuRMJYG8tOVuapB,44,Self-Referential Structure with example | Where Self-Referential Struct is used?,4598,30-01-2022 00:00,223,Gate Smashers,"['c programming', 'c programming full course', 'c programming tutorial', 'c programming language', 'structure in c mcq', 'self referential structure in c', 'best c programming tutorial', 'self-referential structures', 'self referential structure program', 'self referential structure example program', 'self referential structure with example', 'c self referential structure', 'use of self referential structure', 'self referential structure example', 'self referential structure in data structure']",9KKb74132Tc,{}
